hotel,Price,rating,reviews,loc
Radisson Hotel Riyadh Airport,SAR631 ,8.6,527 reviews,24.4 km from center
,,,,
Clemence Suites,SAR395 ,7.9,"1,840 reviews",8.4 km from center
,,,,
Quetzal Aparthotel,SAR540 ,7.9,161 reviews,11.6 km from center
,,,,
Janat Al Areef ApartHotel,SAR525 ,6.9,155 reviews,12.2 km from center
,,,,
Nadreen Furnished Units,SAR400 ,7.5,85 reviews,18.2 km from center
,,,,
The One Resorts,"SAR1,100 ",8.7,56 reviews,25.1 km from center
,,,,
Mnazel Jawraq,"SAR2,250 ",8.1,"1,781 reviews",10.1 km from center
,,,,
"Park Inn by Radisson, Riyadh",SAR360 ,6,"2,614 reviews",5.2 km from center
,,,,
فندق العروبة,SAR110 ,6.3,"6,100 reviews",7 km from center
,,,,
Capital O 162 Brzeen Hotel,SAR146 ,7.4,"1,502 reviews",4.1 km from center
,,,,
HDB hotel Sahafa فندق هدب الصحافه,SAR405 ,,,12.2 km from center
,,,,
درر رامه للأجنحة الفندقية 4,SAR205 ,6.6,214 reviews,6.4 km from center
,,,,
Novotel Suites Riyadh Dyar,SAR300 ,6.2,"3,568 reviews",1.4 km from center
,,,,
Ewaa Express Hotel - Khurais,SAR299 ,8.4,"1,877 reviews",2.1 km from center
,,,,
Almakan Suites 111,SAR108 ,4,942 reviews,12.7 km from center
,,,,
"Marriott Executive Apartments Riyadh, Convention Center",SAR950 ,8.2,"1,118 reviews",3.4 km from center
,,,,
manzel aram 105,SAR126 ,5.4,890 reviews,4.3 km from center
,,,,
Al Muhaidb Al Malaz - Al Farazdaq Road,SAR210 ,6.9,769 reviews,6 km from center
,,,,
Sama Inn Hotel,SAR330 ,7.8,429 reviews,14.4 km from center
,,,,
جولدن جاردن للأجنحة الفندقية,SAR250 ,7.9,272 reviews,13 km from center
,,,,
Tulip Inn Riyadh,SAR225 ,5.8,498 reviews,6.8 km from center
,,,,
Park House Hotel Suite,SAR369 ,8.1,487 reviews,2.6 km from center
,,,,
Al Muhaidb Residence - Al Malaz,SAR285 ,7.7,"1,347 reviews",4.1 km from center
,,,,
Coupard Hotel,SAR400 ,8,206 reviews,15.8 km from center
,,,,
فندق الرياض ان - riyadh inn hotel,SAR270 ,7.7,400 reviews,12.3 km from center
,,,,
قصر الحمراء فرع الاسواق,SAR98 ,6.7,"2,466 reviews",6.6 km from center
,,,,
Al Muhaidb Down Town - King Fahd Road,SAR250 ,7.9,"1,057 reviews",4.3 km from center
,,,,
Grand Plaza Hotel-KAFD Riyadh,SAR555 ,7.9,655 reviews,10.8 km from center
,,,,
MENA AL DIYAR 114,SAR140 ,6.4,549 reviews,5.7 km from center
,,,,
Al Hamra Palace By Warwick,SAR400 ,7.1,"1,261 reviews",4.1 km from center
,,,,
Plaza Business Hotel,SAR468 ,6.5,"3,617 reviews",750 m from center
,,,,
Mena Hotel Riyadh,SAR315 ,6.4,"2,598 reviews",1.4 km from center
,,,,
Vittori Palace Hotel and Residences,SAR600 ,8.5,"1,256 reviews",7.7 km from center
,,,,
Aber Al Yasmin,SAR340 ,8.4,"1,330 reviews",14.3 km from center
,,,,
Gardino Hotel & Residence - فندق جاردينو,SAR664 ,8.6,535 reviews,4.6 km from center
,,,,
صبا للشقق الفندقيه,SAR249 ,7.2,554 reviews,5.7 km from center
,,,,
Dar Hashim Hotel Apartments - Al Morouj,SAR330 ,8.9,"2,283 reviews",6.4 km from center
,,,,
Almakan Hotel 103,SAR144 ,5.9,"1,806 reviews",17.2 km from center
,,,,
Rose Garden Hotel,SAR264 ,7.1,"3,297 reviews",4 km from center
,,,,
Al Muhaidb Residence Al Takhassusi,SAR270 ,6.7,"1,142 reviews",1 km from center
,,,,
AWFAD Hotel,SAR361 ,7.6,"1,001 reviews",650 m from center
,,,,
Al Muhaidb Down Town - King Fahd Road,SAR250 ,7.9,"1,057 reviews",4.3 km from center
,,,,
"Marriott Executive Apartments Riyadh, Convention Center",SAR950 ,8.2,"1,118 reviews",3.4 km from center
,,,,
Nelover Qurtubah Hotel,SAR563 ,8.5,880 reviews,13.5 km from center
,,,,
Aber Al Yasmin,SAR340 ,8.4,"1,330 reviews",14.3 km from center
,,,,
Nadreen Furnished Units,SAR400 ,6.9,155 reviews,18.2 km from center
,,,,
Al Malqa Elite Hotel,SAR431 ,7.9,845 reviews,13.5 km from center
,,,,
Boudl Al Qasr,SAR316 ,7.6,"2,169 reviews",10.8 km from center
,,,,
Rafa Homes,SAR350 ,7.5,960 reviews,11.5 km from center
,,,,
Al Muhaidb ALOlaya Suites,SAR345 ,8,"1,104 reviews",1.9 km from center
,,,,
Braira Al Nakheel,SAR732 ,8.7,"3,879 reviews",8.8 km from center
,,,,
Dorat Najd Resort - منتجع درة نجد,SAR950 ,7.8,135 reviews,20.6 km from center
,,,,
Four Seasons Hotel Riyadh,"SAR3,800 ",8.6,"1,499 reviews",1.9 km from center
,,,,
A4 Ghadeer VIP Golden,SAR889 ,7,853 reviews,8.6 km from center
,,,,
Al Janaderia Suites 7,SAR315 ,8.4,"1,493 reviews",2.6 km from center
,,,,
Best Western Plus Fursan,SAR520 ,7.5,85 reviews,8.3 km from center
,,,,
The One Resorts,"SAR1,100 ",6.4,191 reviews,25.1 km from center
,,,,
Dorar Darea Hotel Apartments - Al Mughrizat,SAR270 ,5.8,"1,333 reviews",9 km from center
,,,,
Capital O 419 Al Safeer Hotel,SAR124 ,7.9,229 reviews,14.2 km from center
,,,,
Rafa Homes Al Izdihar 2,SAR484 ,8.9,"2,283 reviews",10 km from center
,,,,
Dar Hashim Hotel Apartments - Al Morouj,SAR330 ,6.2,990 reviews,6.4 km from center
,,,,
Aliah Tolan Palace,SAR122 ,7.7,"1,347 reviews",11.9 km from center
,,,,
Al Muhaidb Residence - Al Malaz,SAR285 ,6.3,619 reviews,4.1 km from center
,,,,
Al Muhaidb Tahliya (Olaya),SAR245 ,6.8,"1,376 reviews",250 m from center
,,,,
Hyatt Buyutat,SAR410 ,,,2.6 km from center
,,,,
Ewaa Express Hotel - Gaber,SAR375 ,8.8,652 reviews,17.7 km from center
,,,,
Hayat Al Riyadh Hotel,SAR432 ,8.2,"2,336 reviews",4.9 km from center
,,,,
Dana Hotel & Residences 2,SAR500 ,9.2,488 reviews,16.6 km from center
,,,,
Elite Suites Hotel - Al sahafah,SAR400 ,7.9,582 reviews,11.2 km from center
,,,,
Kyan Al Yarmouk Suites,SAR300 ,7.7,254 reviews,18.1 km from center
,,,,
Riyadh Diplomatic Quarter - Marriott Executive Apartments,"SAR2,200 ",8.3,402 reviews,6.2 km from center
,,,,
Al Muhaidb Al Malaz - Al Farazdaq Road,SAR210 ,6.9,769 reviews,6 km from center
,,,,
Corp Inn Deira.,SAR380 ,6.7,739 reviews,7.7 km from center
,,,,
Alfarhan Panda Alfayha,SAR243 ,8,"1,045 reviews",13.6 km from center
,,,,
Swiss International Royal Hotel Riyadh,SAR695 ,8,"1,495 reviews",13.5 km from center
,,,,
Al Muhaidb Sulaimanya Askary Hospital,SAR250 ,7.7,"1,987 reviews",3.1 km from center
,,,,
Sama Hotel,SAR190 ,7.3,"1,173 reviews",2.7 km from center
,,,,
Almakan Suites 101,SAR162 ,5.2,914 reviews,12.6 km from center
,,,,
Golden Tulip Riyadh,SAR550 ,9,231 reviews,12.2 km from center
,,,,
Dana Hotel & Residences,SAR450 ,8.8,764 reviews,16.6 km from center
,,,,
Super 8 Al Riyadh,SAR293 ,6.9,753 reviews,16.5 km from center
,,,,
Mandarin Hotel Apartments,SAR475 ,8.7,427 reviews,6.5 km from center
,,,,
Almakan Suites 111,SAR108 ,4,942 reviews,12.7 km from center
,,,,
فندق الرياض ان - riyadh inn hotel,SAR270 ,7.7,400 reviews,12.3 km from center
,,,,
دانة الخليج Danat Al Khaleej Hotel,SAR540 ,8.4,462 reviews,17.6 km from center
,,,,
Ashbonh Hotel Suites,SAR333 ,7.6,406 reviews,2.3 km from center
,,,,
Al Muhaidb Gharnata - Al Malaz,SAR260 ,7.4,709 reviews,5.9 km from center
,,,,
Rest Night Hotel Apartment,SAR293.70 ,7.6,"2,865 reviews",12.7 km from center
,,,,
Madareem Crown Hotel,SAR642 ,7.2,652 reviews,12.2 km from center
,,,,
Al Farhan Hotel Suites (Exit 15),SAR170 ,6.4,465 reviews,12.1 km from center
,,,,
Al Furat Madayin Hotel,SAR200 ,6.9,340 reviews,1.2 km from center
,,,,
Mira Trio Hotel - Riyadh - Tahlia Street,SAR447 ,7.4,"2,678 reviews",1.5 km from center
,,,,
هيفن بلازا,SAR306 ,6.3,"3,386 reviews",1.8 km from center
,,,,
Almakan Suites 102,SAR126 ,5.4,612 reviews,12.6 km from center
,,,,
H (Hills) ApartHotel,SAR290 ,7.3,319 reviews,4.3 km from center
,,,,
عائلات فقط - Maqam AL Diyafa,SAR157 ,6.9,168 reviews,16.5 km from center
